run,drag_coarse,drag_true,drag_pred,lift_coarse,lift_true,lift_pred,body_height_mm,body_width_mm,frontal_area_m2,Cd_true_file,Cl_true_file,Cd_coarse_file,Cl_coarse_file,Cd_pred_calc,Cd_true_calc,Cl_pred_calc,Cl_true_calc,Cd_pred_error_%,Cl_pred_error_%,Cd_coarse_error_%,Cl_coarse_error_%,Cd_fine_consistency_%
1,0.012532,0.013345,0.009661,-0.005954,-0.005284,-0.00062,253.38677354709415,369.3386773547094,0.09358553580106102,0.2854115695,-0.1131136459,0.2669482789,-0.1273544823,0.20646352916195984,0.2851936442051914,-0.013249910783605746,-0.11292343319447219,-27.661121263004784,-88.2861959950265,-6.469005665168039,12.589848277536586,0.07635475155769032
10,0.011677,0.010558,0.009968,0.009211,0.008197,0.008188,288.0360721442886,302.8056112224449,0.08721893887976355,0.2425522077,0.1909898418,0.2494105949,0.1985569126,0.22857420940975848,0.24210338111438906,0.18775738630087307,0.1879637634963674,-5.762882318321408,-1.6924750911683981,2.8275921563586786,3.962027890427831,0.18504329021241647
11,0.016981,0.01836,0.012876,-0.007957,-0.006651,-0.002615,302.23446893787576,428.25651302605206,0.1294338797836153,0.2836490518,-0.1025618276,0.3623867809,-0.170576443,0.19895872736760747,0.2836969737860573,-0.04040673128815576,-0.10277061942543937,-29.857432589659204,-60.602563123440525,27.75885503594692,66.31572095737498,0.01689481623618729
12,0.019037,0.021419,0.016552,0.007781,0.022281,0.013239,299.3687374749499,344.8897795591182,0.10324921787462701,0.4152757189,0.4316263331,0.4070544104,0.1659970857,0.3206222834559132,0.41489902666398043,0.2564474631870973,0.4315964897100774,-22.792913511728745,-40.58576979183448,-1.9797228987471074,-61.54148322976822,0.0907089480255064
13,0.02225,0.020044,0.017817,0.018448,0.023413,0.019819,304.188376753507,346.4929859719439,0.10539913895928128,0.381634345,0.4438552952,0.4764558124,0.3957800689,0.3380862533778994,0.3803446631142513,0.37607517852032263,0.4442730791006768,-11.410946680414888,-15.27076896742571,24.846156705314357,-10.831283713386235,0.33793653601818346
14,0.018939,0.019751,0.01668,0.017793,0.026128,0.014975,272.6653306613226,337.6753507014028,0.09207236115517609,0.4291969022,0.5677721384,0.4038450826,0.3798412995,0.36232371562380183,0.42903211674374764,0.32528762838527775,0.5675535996294181,-15.581004017833328,-42.708067834756974,-5.906803956424267,-33.09969373093845,0.0383939062485549
15,0.016368,0.016589,0.012284,-0.007645,-0.00542,-0.001921,264.9799599198397,437.875751503006,0.11602829908313621,0.2862238727,-0.0929725364,0.3494888252,-0.162745316,0.21174144751011664,0.2859474823140121,-0.033112611581482744,-0.09342548400397527,-26.02243638424621,-64.38452379203592,22.103310916455232,75.0466560359431,0.09656440721754934
16,0.014161,0.015494,0.011025,-0.004569,-0.001691,-0.000844,278.1362725450901,377.3547094188377,0.10495603230509111,0.2956487711,-0.0321619253,0.3032553244,-0.0978972696,0.21008797222730397,0.2952474414231155,-0.016082925039441684,-0.03222301687404726,-28.940015057176076,-49.993898408060524,2.5728344047224896,204.38871021194743,0.1357454236631186
17,0.016346,0.016582,0.012344,-0.010157,-0.009807,-0.002603,267.71543086172346,439.4789579158317,0.11765529857309812,0.2820260398,-0.1663233277,0.3485847776,-0.2173117986,0.20983330372207235,0.2818742581269769,-0.04424790097120498,-0.16670732417387907,-25.597897317965202,-73.39645521582179,23.600210054078836,30.65623542114832,0.053818318737778904
18,0.022543,0.021798,0.018192,0.020158,0.028101,0.017447,255.34068136272543,417.4348697394789,0.10658810406383909,0.4101060185,0.5273967257,0.4819843805,0.4313336922,0.3413514136456394,0.4090137486064011,0.3273723677372181,0.5272821061376493,-16.76508067495249,-37.926734887725125,17.526775701293438,-18.214567671518626,0.2663384208780872
